C, 21 23 24 26 28 29 31 33 35 36 38 40 41 43 45 47 48 50 52 53 55 57 59 60 62 64 65 67 69 71 72 74 76 77 79 81 83 84 86 88 89 91 93 95 96 98 100 101 103 105 107 108;
G, 21 23 24 26 28 30 31 33 35 36 38 40 42 43 45 47 48 50 52 54 55 57 59 60 62 64 66 67 69 71 72 74 76 78 79 81 83 84 86 88 90 91 93 95 96 98 100 102 103 105 107 108;
D, 21 23 25 26 28 30 31 33 35 37 38 40 42 43 45 47 49 50 52 54 55 57 59 61 62 64 66 67 69 71 73 74 76 78 79 81 83 85 86 88 90 91 93 95 97 98 100 102 103 105 107;
A, 21 23 25 26 28 30 32 33 35 37 38 40 42 44 45 47 49 50 52 54 56 57 59 61 62 64 66 68 69 71 73 74 76 78 80 81 83 85 86 88 90 92 93 95 97 98 100 102 104 105 107;
E, 21 23 25 27 28 30 32 33 35 37 39 40 42 44 45 47 49 51 52 54 56 57 59 61 63 64 66 68 69 71 73 75 76 78 80 81 83 85 87 88 90 92 93 95 97 99 100 102 104 105 107;
B, 22 23 25 27 28 30 32 34 35 37 39 40 42 44 46 47 49 51 52 54 56 58 59 61 62 64 66 68 70 71 73 75 76 78 80 82 83 85 87 88 90 92 94 95 97 99 100 102 104 106 107;
fs, 22 23 25 27 29 30 32 34 35 37 39 41 42 44 46 47 49 51 53 54 56 58 59 61 63 65 66 68 70 71 73 75 77 78 80 82 83 85 87 89 90 92 94 95 97 99 101 102 104 106 107;
cs, 22 24 25 27 29 30 32 34 36 37 39 41 42 44 46 48 49 51 53 54 56 58 60 61 63 65 66 68 70 72 73 75 77 78 80 82 83 85 87 89 90 92 94 96 97 99 101 102 104 106 108;
F, 21 22 24 26 28 29 31 33 34 36 38 40 41 43 45 46 48 50 52 53 55 57 58 60 62 64 65 67 69 70 72 74 76 77 79 81 82 84 86 88 89 91 93 94 96 98 100 101 103 105 106 108;
Bf, 21 22 24 26 27 29 31 33 34 36 38 39 41 43 45 46 48 50 51 53 55 57 58 60 62 63 65 67 69 70 72 74 75 77 79 81 82 84 86 87 89 91 93 94 96 98 99 101 103 105 106 108;
Ef, 22 24 26 27 29 31 32 34 36 38 39 41 43 44 46 48 50 51 53 55 56 58 60 62 63 65 67 68 70 72 74 75 77 79 80 82 84 86 87 89 91 92 94 96 98 99 101 103 104 106 108;
Af, 22 24 25 27 29 31 32 34 36 37 39 41 43 44 46 48 50 51 53 55 56 58 60 61 63 65 67 68 70 72 73 75 77 79 80 82 84 85 87 89 91 92 94 96 97 99 101 103 104 106 108;
Df, 22 24 25 27 29 30 32 34 36 37 39 41 42 44 46 48 49 51 53 54 56 58 60 61 63 65 66 68 70 72 73 75 77 78 80 82 84 85 87 89 90 92 94 96 97 99 101 102 104 106 108;
Gf, 22 23 25 27 29 30 32 34 35 37 39 41 42 44 46 47 49 51 53 54 56 58 59 61 63 65 66 68 70 71 73 75 77 78 80 82 83 85 87 89 90 92 94 95 97 99 101 102 104 106 107;
Cf, 22 23 25 27 28 30 32 34 35 37 39 40 42 44 46 47 49 51 52 54 56 58 59 61 63 64 66 68 70 71 73 75 76 78 80 82 83 85 87 88 90 92 94 95 97 99 100 102 104 106 107;
A-, 21 23 24 26 28 29 31 33 35 36 38 40 41 43 45 47 48 50 52 53 55 57 59 60 62 64 65 67 69 71 72 74 76 77 79 81 83 84 86 88 89 91 93 95 96 98 100 101 103 105 107 108;
As-, 22 24 25 27 29 30 32 34 36 37 39 41 42 44 46 48 49 51 53 54 56 58 60 61 63 65 66 68 70 72 73 75 77 78 80 82 84 85 87 89 90 92 94 96 97 99 101 102 104 106 108;
B-, 21 23 25 26 28 30 31 33 35 37 38 40 42 43 45 47 49 50 52 54 55 57 59 61 62 64 66 67 69 71 73 74 76 78 79 81 83 85 86 88 90 91 93 95 97 98 100 102 103 105 107;
C-, 22 24 26 27 29 31 32 34 36 38 39 41 43 44 46 48 50 51 53 55 56 58 60 62 63 65 67 68 70 72 74 75 77 79 80 82 84 86 87 89 91 92 94 96 98 99 101 103 104 106 108;
Cs-, 21 23 25 27 28 30 32 33 35 37 39 40 42 44 45 47 49 51 52 54 56 57 59 61 63 64 66 68 69 71 73 75 76 78 80 81 83 85 87 88 90 92 93 95 97 99 100 102 104 105 107;
D-, 21 22 24 26 28 29 31 33 34 36 38 40 41 43 45 46 48 50 52 53 55 57 58 60 62 64 65 67 69 70 72 74 76 77 79 81 82 84 86 88 89 91 93 94 96 98 100 101 103 105 106 108;
Ds-, 22 23 25 27 29 30 32 34 35 37 39 41 42 44 46 47 49 51 53 54 56 58 59 61 63 65 66 68 70 71 73 75 77 78 80 82 83 85 87 89 90 92 94 95 97 99 101 102 104 106 107;
